Time Interval,x1,x2,x4,x48,x96
1-10,7.0,13.0,25.0,43.0,97.0
11-20,7.0,13.0,25.0,43.0,97.0
21-30,7.0,13.0,25.0,43.0,97.0
31-40,7.0,13.0,25.0,43.0,97.0
41-50,7.0,13.0,25.0,43.0,97.0
51-60,7.0,13.0,25.0,43.0,97.0
61-70,7.0,13.0,25.0,43.0,97.0
71-80,7.0,13.0,25.0,43.0,97.0
81-90,7.0,13.0,25.0,43.0,97.0
91-100,7.0,13.0,25.0,43.0,97.0
101-110,7.0,13.0,25.0,43.0,97.0
111-120,7.0,13.0,25.0,43.0,97.0
121-130,7.0,13.0,25.0,43.0,97.0
131-140,7.0,13.0,25.0,43.0,97.0
141-150,7.0,13.0,25.0,43.0,97.0
151-160,7.0,13.0,25.0,43.0,97.0
161-170,7.0,13.0,25.0,43.0,97.0
171-180,7.0,13.0,25.0,43.0,97.0
181-190,7.0,13.0,25.0,43.0,97.0
191-200,7.0,13.0,25.0,43.0,97.0
201-210,7.0,13.0,25.0,43.0,97.0
211-220,7.0,13.0,25.0,43.0,97.0
221-230,7.0,13.0,25.0,43.0,97.0
231-240,7.0,13.0,25.0,43.0,97.0
241-250,7.0,13.0,25.0,43.0,97.0
251-260,7.0,13.0,25.0,43.0,97.0
261-270,7.0,13.0,25.0,43.0,97.0
271-280,7.0,13.0,25.0,43.0,97.0
281-290,7.0,13.0,25.0,43.0,97.0
291-300,7.0,13.0,25.0,43.0,97.0
