Time Interval,x1,x2,x4,x48,x96
1-10,16.6,16.6,16.8,16.5,26.4
11-20,16.8,16.9,16.8,16.3,21.0
21-30,16.7,16.9,16.5,16.9,36.1
31-40,16.8,16.8,16.4,17.0,27.9
41-50,16.4,16.6,16.4,16.7,30.3
51-60,16.6,16.9,16.3,16.5,34.1
61-70,16.6,16.8,17.0,16.8,26.2
71-80,16.3,16.9,16.6,16.5,29.6
81-90,16.6,16.3,16.7,16.6,30.9
91-100,16.6,16.7,16.7,16.8,22.1
101-110,16.9,16.0,16.5,16.1,31.7
111-120,17.1,16.8,16.7,16.6,17.4
121-130,16.5,16.6,16.5,17.2,29.5
131-140,16.8,16.7,16.8,17.1,22.4
141-150,16.3,16.7,17.1,16.6,23.6
151-160,17.0,16.5,16.7,16.7,26.9
161-170,16.6,16.5,16.3,17.3,25.3
171-180,16.3,16.7,16.5,16.8,28.6
181-190,16.5,16.5,16.9,16.6,26.6
191-200,16.9,16.5,16.8,18.6,27.3
201-210,16.5,16.7,16.9,17.1,31.3
211-220,16.7,16.9,16.5,16.5,35.3
221-230,16.5,16.5,16.3,17.1,19.6
231-240,16.4,16.9,16.5,16.7,36.0
241-250,16.7,16.8,16.8,16.7,39.8
251-260,16.7,16.8,16.5,16.8,30.6
261-270,16.5,16.7,17.2,17.0,36.4
271-280,16.8,16.9,17.0,17.1,27.7
281-290,16.8,16.6,16.3,16.6,37.4
291-300,17.0,16.166666666666668,17.0,18.285714285714285,30.714285714285715
