Time Interval,x1,x2,x4,x48,x96
1-10,1.0,0.7,0.6,0.1,0.5
11-20,1.3,0.4,0.2,0.6,0.6
21-30,0.6,0.4,0.3,0.2,0.7
31-40,0.6,0.8,0.5,0.3,0.4
41-50,1.2,0.9,0.7,0.4,0.5
51-60,0.6,0.6,0.8,0.4,0.7
61-70,0.6,0.6,0.5,0.7,1.1
71-80,0.7,0.5,0.4,0.6,0.2
81-90,0.7,0.5,0.5,0.3,1.1
91-100,0.7,0.5,0.5,0.2,1.1
101-110,0.6,0.9,0.6,0.6,0.4
111-120,0.9,0.8,0.4,0.4,0.3
121-130,1.0,0.7,0.6,0.7,0.7
131-140,0.7,0.4,0.3,0.2,0.8
141-150,0.6,0.5,0.5,0.9,0.3
151-160,0.4,1.1,0.3,0.4,0.5
161-170,0.4,0.8,0.5,0.5,0.7
171-180,0.9,0.7,0.3,0.4,0.6
181-190,0.9,0.5,0.3,0.8,0.7
191-200,0.5,0.9,0.1,0.7,0.7
201-210,0.5,0.4,0.3,0.5,0.7
211-220,0.8,0.7,0.2,0.8,1.0
221-230,0.6,0.8,0.4,0.4,0.5
231-240,0.5,0.7,0.4,0.5,0.8
241-250,1.0,0.7,0.6,0.3,1.0
251-260,0.7,0.3,0.5,0.4,0.7
261-270,0.5,0.6,0.2,0.5,0.6
271-280,0.5,0.8,0.2,0.4,0.5
281-290,0.3,0.8,0.5,0.6,0.4
291-300,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855
