Model Interval,10,169,4444,77777,123456,Mean,Std Dev
"(0, 10]",,1.6666666666666667,,,,1.6666666666666667,0.0
"(10, 20]",2.25,2.0,2.7777777777777777,2.0,3.7,2.5455555555555556,0.643317021478102
"(20, 30]",3.2857142857142856,3.7,2.4166666666666665,2.857142857142857,3.4,3.131904761904762,0.44840255642414645
"(30, 40]",3.8333333333333335,3.7,3.0,4.4,4.111111111111111,3.8088888888888888,0.4706391766182467
"(40, 50]",4.363636363636363,5.333333333333333,4.0,4.444444444444445,6.111111111111111,4.85050505050505,0.7677937178328282
"(50, 60]",5.888888888888889,5.583333333333333,5.888888888888889,5.181818181818182,6.454545454545454,5.7994949494949495,0.41792921663766885
"(60, 70]",7.111111111111111,6.25,7.0,5.416666666666667,6.583333333333333,6.472222222222223,0.6103530651987672
"(70, 80]",7.444444444444445,6.583333333333333,7.777777777777778,6.25,7.4,7.091111111111111,0.5756863858168048
"(80, 90]",7.7,6.9,8.571428571428571,7.777777777777778,8.909090909090908,7.971659451659451,0.7068725027732793
"(90, 100]",8.777777777777779,7.444444444444445,9.0,8.1,9.0,8.464444444444444,0.6074597990051749
"(100, 110]",8.909090909090908,8.857142857142858,10.555555555555555,8.11111111111111,8.818181818181818,9.050216450216451,0.8073411374583935
"(110, 120]",9.5,9.125,10.833333333333334,9.0,8.875,9.466666666666667,0.7146288858172785
"(120, 130]",10.333333333333334,9.727272727272728,11.6,9.444444444444445,10.11111111111111,10.243232323232323,0.7444016544039093
"(130, 140]",11.11111111111111,10.88888888888889,11.9,10.0,11.2,11.02,0.6119953199207804
"(140, 150]",12.22222222222222,11.181818181818182,12.5,11.1,11.416666666666666,11.684141414141413,0.5692536780957215
"(150, 160]",12.714285714285714,11.461538461538462,14.1,11.6,11.333333333333334,12.241831501831502,1.0509212128498562
"(160, 170]",12.76923076923077,12.272727272727272,13.5,11.77777777777778,13.125,12.688947163947164,0.6095675326189535
"(170, 180]",13.181818181818182,12.166666666666666,14.23076923076923,13.357142857142858,13.636363636363637,13.314552114552114,0.6752910082831666
"(180, 190]",13.25,12.666666666666666,14.666666666666666,14.11111111111111,14.1,13.758888888888887,0.7094216040872162
"(190, 200]",14.636363636363637,14.125,15.714285714285714,15.5,15.3,15.05512987012987,0.5887043355859796
"(200, 210]",15.125,15.384615384615383,17.0,15.3,15.77777777777778,15.717478632478635,0.675960697876842
"(210, 220]",16.5,15.9,17.4,16.0,16.692307692307693,16.498461538461537,0.539809302291315
"(220, 230]",17.11764705882353,17.125,18.53333333333333,16.16,18.2,17.427196078431372,0.8501405171411625
"(230, 240]",17.933333333333334,17.5,18.545454545454547,17.6,17.736842105263158,17.863125996810208,0.3708219840888079
"(240, 250]",17.8125,18.73684210526316,19.6,18.476190476190474,17.529411764705884,18.430988869231903,0.7290467979343186
"(250, 260]",18.6875,19.071428571428573,20.33333333333333,19.6,19.705882352941178,19.479628851540614,0.5636642242748806
"(260, 270]",19.25,19.666666666666668,20.15384615384616,20.2,19.5,19.754102564102567,0.37012214342287114
"(270, 280]",19.428571428571427,20.0,21.0,21.5,19.857142857142858,20.357142857142858,0.7693092581620723
"(280, 290]",20.666666666666668,20.0,,,20.0,20.222222222222225,0.314269680527355
