Model Interval,10,169,4444,77777,123456,Mean,Std Dev
"(0, 10]",,16.333333333333332,,,,16.333333333333332,0.0
"(10, 20]",17.25,17.0,16.333333333333332,17.272727272727273,16.9,16.95121212121212,0.3404183673512929
"(20, 30]",16.857142857142858,16.6,16.916666666666668,16.857142857142858,16.8,16.806190476190476,0.1094989619847463
"(30, 40]",16.666666666666668,16.6,16.555555555555557,16.8,17.0,16.724444444444444,0.16061609777415634
"(40, 50]",16.818181818181817,16.333333333333332,16.6,16.666666666666668,16.333333333333332,16.55030303030303,0.19074644346172412
"(50, 60]",16.77777777777778,16.666666666666668,17.11111111111111,17.0,16.818181818181817,16.874747474747473,0.15965987724023584
"(60, 70]",16.666666666666668,16.5,16.545454545454547,16.916666666666668,16.416666666666668,16.609090909090913,0.17372122311589216
"(70, 80]",17.22222222222222,16.333333333333332,16.666666666666668,16.833333333333332,16.7,16.75111111111111,0.28739786162078085
"(80, 90]",16.7,16.5,16.857142857142858,16.77777777777778,16.818181818181817,16.730620490620492,0.12650860064567335
"(90, 100]",16.666666666666668,16.77777777777778,16.53846153846154,16.9,16.666666666666668,16.70991452991453,0.12155228502776316
"(100, 110]",16.727272727272727,16.285714285714285,16.555555555555557,16.444444444444443,16.545454545454547,16.51168831168831,0.14500147031458643
"(110, 120]",16.833333333333332,16.125,16.333333333333332,16.833333333333332,17.125,16.65,0.3657184709581948
"(120, 130]",16.533333333333335,16.454545454545453,16.7,16.555555555555557,16.0,16.44868686868687,0.23794892701623338
"(130, 140]",16.333333333333332,16.444444444444443,16.2,17.125,16.9,16.60055555555555,0.3524009360842939
"(140, 150]",16.88888888888889,16.363636363636363,16.3,16.4,16.416666666666668,16.473838383838384,0.21135368597072285
"(150, 160]",16.714285714285715,16.384615384615383,16.5,17.2,16.25,16.60978021978022,0.33210645688978335
"(160, 170]",16.76923076923077,16.454545454545453,16.3,17.22222222222222,17.125,16.77419968919969,0.36079188274922275
"(170, 180]",16.454545454545453,16.583333333333332,16.923076923076923,19.571428571428573,16.272727272727273,17.16102231102231,1.2238119566821142
"(180, 190]",16.625,16.166666666666668,17.25,16.88888888888889,16.8,16.746111111111112,0.3542928968948196
"(190, 200]",16.636363636363637,17.125,18.142857142857142,16.8,17.1,17.160844155844153,0.524332841159539
"(200, 210]",17.75,18.07692307692308,18.125,17.2,18.11111111111111,17.85260683760684,0.3543343384924401
"(210, 220]",18.5,18.5,19.5,17.615384615384617,19.15384615384616,18.653846153846153,0.6467945541408593
"(220, 230]",19.94117647058824,20.1875,20.466666666666665,18.52,19.7,19.76306862745098,0.6717308774949121
"(230, 240]",20.0,20.38888888888889,20.954545454545453,19.666666666666668,19.94736842105263,20.191493886230727,0.44562837535091704
"(240, 250]",20.5,21.42105263157895,21.8,20.285714285714285,20.47058823529412,20.895471030517466,0.6005222209870024
"(250, 260]",21.5625,22.142857142857142,22.6,20.8,21.11764705882353,21.644600840336132,0.6570872564004215
"(260, 270]",22.3125,22.916666666666668,22.692307692307693,20.9,22.33333333333333,22.23096153846154,0.7030816337346174
"(270, 280]",22.142857142857142,25.0,23.428571428571427,22.5,22.571428571428573,23.128571428571426,1.026585384184096
"(280, 290]",25.0,23.0,,,24.0,24.0,0.816496580927726
