Model Interval,10,169,4444,77777,123456,Mean,Std Dev
"(0, 10]",,61.27450980392157,,,,61.27450980392157,0.0
"(10, 20]",58.006535947712415,58.88188608776844,61.274509803921575,58.00653594771242,59.23202614379085,59.08029878618114,1.1985728218898475
"(20, 30]",59.34873949579832,60.424836601307184,59.19798474945534,59.40709617180205,59.55882352941176,59.587496109554934,0.4343337826557759
"(30, 40]",60.13071895424836,60.29411764705882,60.45751633986928,59.68954248366013,58.86891793754538,59.88816267247639,0.5702817547281313
"(40, 50]",59.56625074272133,61.27450980392157,60.38398692810457,60.14887436456063,61.32897603485839,60.5405195748333,0.6763864935373256
"(50, 60]",59.740377632534496,60.083061002178646,58.55119825708061,58.92907402195328,59.5291146761735,59.36656511798411,0.5542104444948056
"(60, 70]",60.094408133623816,60.66176470588235,60.57635175282234,59.19798474945534,61.00217864923747,60.30653759820426,0.6255862492345463
"(70, 80]",58.48635750596535,61.3562091503268,60.04901960784313,59.56706513014563,60.01633986928105,59.89499825271239,0.9236224920742617
"(80, 90]",59.96732026143791,60.66176470588236,59.40709617180205,59.64052287581699,59.947739426349045,59.92488868825767,0.4229141438558858
"(90, 100]",60.04901960784313,59.64052287581699,60.551784816490695,59.27287581699346,60.094408133623816,59.92172225015362,0.43429912527562026
"(100, 110]",59.98217468805704,61.44957983193277,60.50290486564997,60.92047930283224,60.61348781937017,60.69372530156844,0.4841256481665705
"(110, 120]",59.53302373581011,62.23739495798319,61.34940087145969,59.50435729847495,58.5171568627451,60.22826674529462,1.358590642059894
"(120, 130]",60.5392156862745,60.82887700534759,59.92647058823529,60.55737109658679,62.72953625894802,60.91629412707844,0.9535463609435121
"(130, 140]",61.32897603485839,60.86601307189542,61.81372549019608,58.46609477124183,59.23202614379085,60.34136710239651,1.2779473930759546
"(140, 150]",59.32280319535221,61.16310160427807,61.5546218487395,61.22782446311858,60.96813725490196,60.84729767327806,0.7853057834406993
"(150, 160]",59.87394957983194,61.20717517776341,60.66176470588236,58.251633986928105,61.71218487394958,60.34134166487108,1.2097010574142764
"(160, 170]",59.94128420599009,60.82887700534759,61.734360410831,58.14270152505446,58.41503267973856,59.81245116539234,1.3772651795232744
"(170, 180]",60.97211611917494,60.35539215686274,59.26973353443942,56.50411679823445,61.68512859689331,59.757297441120976,1.8094716097835672
"(180, 190]",60.20220588235294,61.88725490196078,58.13732656805413,59.36819172113289,59.55882352941176,59.8307605205825,1.2266033564594812
"(190, 200]",60.44634759805038,58.560156518747846,55.4046179875459,59.55882352941176,58.65368077055384,58.524725280861944,1.703816065795498
"(200, 210]",56.734283625731,55.57615758854149,55.31260749914001,58.24518403852769,55.30711309865077,56.23506917011819,1.1345465467953932
"(210, 220]",54.43948412698413,54.33878814683768,51.42439431913116,57.07278187928343,52.420313604524125,53.9391524153521,1.9421922547754802
"(220, 230]",50.45378598010177,49.99696653330218,49.102199944305205,54.427827590366284,51.01655654287233,50.99946731818956,1.8251764644484685
"(230, 240]",50.17037543353333,49.38673814531938,47.83732147472527,50.96124148755728,50.43013303847446,49.75716191592194,1.0859506662125642
"(240, 250]",48.86790840738209,47.14799938152943,46.01355166572558,49.46203893572314,49.03492358735326,48.105284395542704,1.3098356922703713
"(250, 260]",46.61100317493338,45.30222365626093,44.46033193859281,48.46196095624013,47.696615302222895,46.506427005650025,1.4756834429177101
"(260, 270]",45.01593967626576,43.794353124063264,44.20427398688268,48.18754774637127,45.06168482617758,45.252759871952115,1.5447877679162239
"(270, 280]",45.35774784221989,40.49443532202152,43.04016822757452,44.466403162055336,44.348767174854125,43.54150434574508,1.693624460904969
"(280, 290]",40.2864044168392,43.53315766359244,,,41.66666666666666,41.82874291569943,1.3304267972349029
