FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
58.8235294117647,0.637952,3.0,77,17.0,12
58.8235294117647,0.620544,2.0,80,17.0,12
58.8235294117647,0.651264,2.0,71,17.0,12
58.8235294117647,1.1632639999999999,2.0,143,17.0,16
55.55555555555556,1.306624,3.0,148,18.0,16
58.8235294117647,0.6369279999999999,1.0,129,17.0,16
58.8235294117647,1.334272,3.0,156,17.0,19
55.55555555555556,0.6543359999999999,2.0,159,18.0,19
62.5,1.303552,3.0,153,16.0,21
58.8235294117647,0.664576,2.0,139,17.0,21
58.8235294117647,0.684032,4.0,260,17.0,24
58.8235294117647,0.7546879999999999,3.0,329,17.0,24
58.8235294117647,0.669696,2.0,254,17.0,25
58.8235294117647,0.66048,2.0,249,17.0,25
58.8235294117647,0.6727679999999999,3.0,309,17.0,27
62.5,13.341695999999999,4.0,382,16.0,28
58.8235294117647,0.807936,3.0,329,17.0,29
58.8235294117647,0.753664,4.0,401,17.0,29
58.8235294117647,0.70144,4.0,308,17.0,30
58.8235294117647,12.580864,4.0,404,17.0,30
58.8235294117647,0.743424,3.0,371,17.0,30
58.8235294117647,0.7004159999999999,5.0,343,17.0,30
58.8235294117647,4.907007999999999,4.0,440,17.0,31
58.8235294117647,1.503232,3.0,278,17.0,34
58.8235294117647,13.387775999999999,4.0,356,17.0,36
58.8235294117647,0.733184,3.0,325,17.0,38
58.8235294117647,13.216768,4.0,369,17.0,39
66.66666666666667,1.604608,5.0,375,15.0,40
58.8235294117647,0.821248,4.0,382,17.0,41
62.5,13.688832,4.0,491,16.0,42
55.55555555555556,0.8837119999999999,5.0,452,18.0,42
62.5,0.8704,5.0,479,16.0,45
55.55555555555556,0.72192,4.0,398,18.0,46
58.8235294117647,12.171263999999999,4.0,516,17.0,46
62.5,10.737663999999999,4.0,422,16.0,46
58.8235294117647,13.638656,4.0,527,17.0,48
58.8235294117647,14.042112,5.0,641,17.0,48
62.5,1.403904,5.0,621,16.0,48
58.8235294117647,12.959743999999999,4.0,563,17.0,50
