Time Interval,4096,8192,16384,32768,65536
1-10,16.7,16.8,16.2,25.5,54.9
11-20,16.7,16.4,16.7,27.1,42.3
21-30,16.8,16.7,16.5,28.5,51.3
31-40,19.9,16.5,16.5,31.4,48.2
41-50,16.5,16.5,16.9,19.9,48.5
51-60,16.9,16.6,16.7,30.6,45.5
61-70,16.7,16.7,16.8,25.4,57.8
71-80,16.2,16.6,16.5,19.8,46.7
81-90,16.8,16.8,17.0,22.1,48.5
91-100,16.6,16.7,16.7,21.1,46.2
101-110,16.5,16.9,16.5,19.0,50.4
111-120,16.4,17.0,16.9,20.8,40.7
121-130,16.4,16.5,16.6,24.2,46.3
131-140,16.9,16.9,16.5,27.3,54.8
141-150,17.1,16.5,17.0,22.9,56.8
151-160,16.3,16.7,16.7,26.8,38.1
161-170,16.7,16.4,16.6,18.2,52.1
171-180,16.8,16.7,16.6,25.0,60.4
181-190,16.7,16.6,16.2,22.6,46.2
191-200,17.1,16.9,16.9,18.6,50.8
201-210,16.5,16.7,16.4,21.9,39.8
211-220,16.7,16.4,16.3,21.6,51.4
221-230,16.5,16.9,17.0,22.8,45.9
231-240,16.4,16.4,16.8,29.5,49.7
241-250,16.6,16.5,16.9,20.8,48.5
251-260,16.5,16.6,16.9,23.4,38.4
261-270,16.4,17.4,16.9,34.0,50.2
271-280,16.7,16.2,16.3,33.7,36.9
281-290,16.7,16.5,16.7,20.8,39.2
291-300,16.625,16.875,16.75,33.142857142857146,36.142857142857146
